url,mode,duration_ms,status,fetched_with,got_title,trial
https://www.facebook.com/share/1FCJHGZoVn/,login,6535,ok,playwright,True,1
https://www.facebook.com/share/1FCJHGZoVn/,login,6452,ok,playwright,True,2
https://www.facebook.com/share/1FCJHGZoVn/,login,6084,ok,playwright,True,3
https://www.facebook.com/share/1FCJHGZoVn/,login,6788,ok,playwright,True,4
https://www.facebook.com/share/1FCJHGZoVn/,login,5514,ok,playwright,True,5
https://www.facebook.com/share/17M49uEnR5/,login,4845,ok,playwright,True,1
https://www.facebook.com/share/17M49uEnR5/,login,5957,ok,playwright,True,2
https://www.facebook.com/share/17M49uEnR5/,login,6004,ok,playwright,True,3
https://www.facebook.com/share/17M49uEnR5/,login,10006,ok,playwright,True,4
https://www.facebook.com/share/17M49uEnR5/,login,7770,ok,playwright,True,5
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,login,5432,ok,playwright,True,1
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,login,4890,ok,playwright,True,2
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,login,4579,ok,playwright,True,3
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,login,4866,ok,playwright,True,4
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,login,4632,ok,playwright,True,5
https://www.facebook.com/share/v/1S67D9YJP7/,login,6138,ok,playwright,True,1
https://www.facebook.com/share/v/1S67D9YJP7/,login,6996,ok,playwright,True,2
https://www.facebook.com/share/v/1S67D9YJP7/,login,6742,ok,playwright,True,3
https://www.facebook.com/share/v/1S67D9YJP7/,login,6870,ok,playwright,True,4
https://www.facebook.com/share/v/1S67D9YJP7/,login,6228,ok,playwright,True,5
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,login,2105,ok,requests,True,1
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,login,1870,ok,requests,True,2
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,login,1905,ok,requests,True,3
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,login,2285,ok,requests,True,4
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,login,2219,ok,requests,True,5
https://www.facebook.com/share/p/1Hix72LT2e/,login,6115,ok,playwright,True,1
https://www.facebook.com/share/p/1Hix72LT2e/,login,5069,ok,playwright,True,2
https://www.facebook.com/share/p/1Hix72LT2e/,login,4614,ok,playwright,True,3
https://www.facebook.com/share/p/1Hix72LT2e/,login,5006,ok,playwright,True,4
https://www.facebook.com/share/p/1Hix72LT2e/,login,4424,ok,playwright,True,5
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,login,4331,ok,playwright,True,1
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,login,4440,ok,playwright,True,2
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,login,4770,ok,playwright,True,3
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,login,4867,ok,playwright,True,4
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,login,4276,ok,playwright,True,5
https://www.facebook.com/share/v/1A9Ntz3k8Q/,login,5633,ok,playwright,True,1
https://www.facebook.com/share/v/1A9Ntz3k8Q/,login,5283,ok,playwright,True,2
https://www.facebook.com/share/v/1A9Ntz3k8Q/,login,5884,ok,playwright,True,3
https://www.facebook.com/share/v/1A9Ntz3k8Q/,login,4975,ok,playwright,True,4
https://www.facebook.com/share/v/1A9Ntz3k8Q/,login,4989,ok,playwright,True,5
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,login,1905,ok,requests,True,1
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,login,1978,ok,requests,True,2
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,login,2186,ok,requests,True,3
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,login,2138,ok,requests,True,4
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,login,1918,ok,requests,True,5
https://www.facebook.com/share/p/1D1W2YwvMJ/,login,5359,ok,playwright,True,1
https://www.facebook.com/share/p/1D1W2YwvMJ/,login,4602,ok,playwright,True,2
https://www.facebook.com/share/p/1D1W2YwvMJ/,login,4566,ok,playwright,True,3
https://www.facebook.com/share/p/1D1W2YwvMJ/,login,5292,ok,playwright,True,4
