url,mode,duration_ms,status,fetched_with,got_title,trial
https://www.facebook.com/share/1FCJHGZoVn/,anon,7177,ok,playwright,True,1
https://www.facebook.com/share/1FCJHGZoVn/,anon,5182,ok,playwright,True,2
https://www.facebook.com/share/1FCJHGZoVn/,anon,5260,ok,playwright,True,3
https://www.facebook.com/share/1FCJHGZoVn/,anon,5851,ok,playwright,True,4
https://www.facebook.com/share/1FCJHGZoVn/,anon,6131,ok,playwright,True,5
https://www.facebook.com/share/17M49uEnR5/,anon,5846,ok,playwright,True,1
https://www.facebook.com/share/17M49uEnR5/,anon,4987,ok,playwright,True,2
https://www.facebook.com/share/17M49uEnR5/,anon,5392,ok,playwright,True,3
https://www.facebook.com/share/17M49uEnR5/,anon,4897,ok,playwright,True,4
https://www.facebook.com/share/17M49uEnR5/,anon,4814,ok,playwright,True,5
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,anon,5212,ok,playwright,True,1
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,anon,4394,ok,playwright,True,2
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,anon,4253,ok,playwright,True,3
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,anon,4485,ok,playwright,True,4
https://www.facebook.com/TechOrange/posts/1245061314333266?rdid=MaPBVtQknzlxiksz#,anon,7344,ok,playwright,True,5
https://www.facebook.com/share/v/1S67D9YJP7/,anon,6800,ok,playwright,True,1
https://www.facebook.com/share/v/1S67D9YJP7/,anon,8260,ok,playwright,True,2
https://www.facebook.com/share/v/1S67D9YJP7/,anon,7051,ok,playwright,True,3
https://www.facebook.com/share/v/1S67D9YJP7/,anon,6467,ok,playwright,True,4
https://www.facebook.com/share/v/1S67D9YJP7/,anon,6028,ok,playwright,True,5
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,anon,1674,ok,requests,True,1
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,anon,2378,ok,requests,True,2
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,anon,2413,ok,requests,True,3
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,anon,2256,ok,requests,True,4
https://www.facebook.com/watch/?v=1143773194511717&rdid=eP9NXE8LHD8VBPl6,anon,1993,ok,requests,True,5
https://www.facebook.com/share/p/1Hix72LT2e/,anon,5955,ok,playwright,True,1
https://www.facebook.com/share/p/1Hix72LT2e/,anon,5818,ok,playwright,True,2
https://www.facebook.com/share/p/1Hix72LT2e/,anon,4860,ok,playwright,True,3
https://www.facebook.com/share/p/1Hix72LT2e/,anon,5479,ok,playwright,True,4
https://www.facebook.com/share/p/1Hix72LT2e/,anon,4971,ok,playwright,True,5
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,anon,5180,ok,playwright,True,1
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,anon,4908,ok,playwright,True,2
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,anon,4387,ok,playwright,True,3
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,anon,4431,ok,playwright,True,4
https://www.facebook.com/groups/1813935948839125/permalink/4529940857238607/?rdid=90NQ8BQDhgLaeSO3#,anon,4805,ok,playwright,True,5
https://www.facebook.com/share/v/1A9Ntz3k8Q/,anon,6776,ok,playwright,True,1
https://www.facebook.com/share/v/1A9Ntz3k8Q/,anon,7392,ok,playwright,True,2
https://www.facebook.com/share/v/1A9Ntz3k8Q/,anon,7200,ok,playwright,True,3
https://www.facebook.com/share/v/1A9Ntz3k8Q/,anon,6215,ok,playwright,True,4
https://www.facebook.com/share/v/1A9Ntz3k8Q/,anon,7825,ok,playwright,True,5
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,anon,2017,ok,requests,True,1
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,anon,2147,ok,requests,True,2
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,anon,1941,ok,requests,True,3
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,anon,2362,ok,requests,True,4
https://www.facebook.com/watch/?v=2037791633699632&rdid=1GER9nCdZ8bWwH6z,anon,1914,ok,requests,True,5
https://www.facebook.com/share/p/1D1W2YwvMJ/,anon,6119,ok,playwright,True,1
https://www.facebook.com/share/p/1D1W2YwvMJ/,anon,5058,ok,playwright,True,2
https://www.facebook.com/share/p/1D1W2YwvMJ/,anon,5214,ok,playwright,True,3
https://www.facebook.com/share/p/1D1W2YwvMJ/,anon,4860,ok,playwright,True,4
https://www.facebook.com/share/p/1D1W2YwvMJ/,anon,4371,ok,playwright,True,5
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,anon,4296,ok,playwright,True,1
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,anon,4290,ok,playwright,True,2
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,anon,4445,ok,playwright,True,3
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,anon,4286,ok,playwright,True,4
https://www.facebook.com/groups/3494771130751265/permalink/4321580211403682/?rdid=LHjz368c7NtmZWcz#,anon,5903,ok,playwright,True,5
https://www.facebook.com/share/v/17MhoeCBLK/,anon,5495,ok,playwright,True,1
https://www.facebook.com/share/v/17MhoeCBLK/,anon,5738,ok,playwright,True,2
https://www.facebook.com/share/v/17MhoeCBLK/,anon,5850,ok,playwright,True,3
https://www.facebook.com/share/v/17MhoeCBLK/,anon,5461,ok,playwright,True,4
https://www.facebook.com/share/v/17MhoeCBLK/,anon,6383,ok,playwright,True,5
https://www.facebook.com/61564650838712/videos/1405752940319599/?rdid=k4oRLOuNGI8mLbKL#,anon,2533,ok,requests,True,1
